""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""22161"",""6748 Alfred Ave."","""",""Bremerton"",""79"",""98312"",""{327FF0CB-3B4B-498C-9647-2E0912236078}"",""2013-07-09 00:00:00""
""22232"",""1963 Palms"","""",""Bremerton"",""79"",""98312"",""{0783B384-64C2-4948-B956-613795E3A553}"",""2013-10-10 00:00:00""
""22344"",""3168 Limewood Pl."","""",""Bremerton"",""79"",""98312"",""{51E0AAAB-E40B-4AF0-8701-72443C20CEE4}"",""2014-10-06 00:00:00""
""22475"",""7709 Thissen Court"","""",""Bremerton"",""79"",""98312"",""{DC4E7EE8-1FD3-4C21-B02B-0C7D5CDA1E7F}"",""2013-09-11 00:00:00""
""22851"",""465 Falcon Place"","""",""Bremerton"",""79"",""98312"",""{AE60470B-74D8-4B2F-8268-E825139227DA}"",""2013-10-12 00:00:00""
""22926"",""1534 Lanton Ave"","""",""Bremerton"",""79"",""98312"",""{BB11ED2C-2415-4527-8903-6E875148B704}"",""2012-03-09 00:00:00""
""25633"",""1013 Holiday Hills Dr."","""",""Bremerton"",""79"",""98312"",""{0F0DE744-E1D6-4336-A1DD-ECC2EC11E70F}"",""2013-06-04 00:00:00""
""25922"",""1809 Candellero Dr."","""",""Bremerton"",""79"",""98312"",""{05903B9E-6247-4588-9FD9-FE7A18FDB406}"",""2012-06-07 00:00:00""
""26565"",""8120 E Leland"","""",""Bremerton"",""79"",""98312"",""{88940791-4D22-4DEF-A44E-4DD7AD12141C}"",""2014-01-01 00:00:00""
""28486"",""9090 Cristobal"","""",""Bremerton"",""79"",""98312"",""{7AC9834B-E186-40F4-B4CA-51152BCC550D}"",""2011-09-12 00:00:00""
""28554"",""8569 W St."","""",""Bremerton"",""79"",""98312"",""{70AFA4E4-D689-459F-AC5B-8746484D36BB}"",""2013-08-11 00:00:00""
""28876"",""878 Amador Ct"","""",""Bremerton"",""79"",""98312"",""{A28E885D-F35D-429B-8223-C8BA8DED7357}"",""2014-07-02 00:00:00""
""28946"",""3589 G Street"","""",""Bremerton"",""79"",""98312"",""{271822C3-400B-45A5-BD6C-421FDE9DDFAE}"",""2011-11-11 00:00:00""
