""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""22122"",""8841 Thornwood Dr."","""",""National City"",""9"",""91950"",""{D0F4310D-8A47-46B3-951F-84AFF58FE01D}"",""2013-07-09 00:00:00""
""22300"",""3341 Riverside Dr."","""",""National City"",""9"",""91950"",""{9A123871-12F9-45E5-9546-05785EE97AE7}"",""2013-09-11 00:00:00""
""22757"",""2066 Napa Court"","""",""National City"",""9"",""91950"",""{5C72488D-171F-466A-A3D9-8821E76960A3}"",""2014-10-04 00:00:00""
""23077"",""4268 Weaver Court"","""",""National City"",""9"",""91950"",""{7B73A135-042F-4CFF-8550-D17870056BA1}"",""2013-04-11 00:00:00""
""25875"",""3655 Sodaro Dr."","""",""National City"",""9"",""91950"",""{F29D5F81-7861-41E8-ABC5-F65E57629ECF}"",""2013-03-09 00:00:00""
""26598"",""8306 Sun Tree Lane"","""",""National City"",""9"",""91950"",""{485E771A-8682-46FB-B067-4B48FBD6C4ED}"",""2013-07-12 00:00:00""
""26749"",""8154 Falcon Place"","""",""National City"",""9"",""91950"",""{F02D2C5F-621D-4C99-88CD-0A85C7FFA00F}"",""2014-07-06 00:00:00""
""28162"",""6657 Camino Solano"","""",""National City"",""9"",""91950"",""{748FB5D5-BD80-4D72-A214-203B1A5D1F28}"",""2013-07-10 00:00:00""
""28198"",""9693 Mellowood Street"","""",""National City"",""9"",""91950"",""{BABFEEE9-C3FA-4329-93F6-FA4D69AB90AB}"",""2014-12-04 00:00:00""
""28861"",""6574 Hemlock Ave."","""",""National City"",""9"",""91950"",""{24FF58C8-5825-4D15-8CA6-8F42E7A78C86}"",""2013-03-01 00:00:00""
""28898"",""4305 Madrid"","""",""National City"",""9"",""91950"",""{A207A509-050A-4E9A-AB7C-18B289970DD0}"",""2014-08-05 00:00:00""
