""AddressID"",""AddressLine1"",""AddressLine2"",""City"",""StateProvinceID"",""PostalCode"",""rowguid"",""ModifiedDate""
""22131"",""8240 Leonard Dr."","""",""Oregon City"",""58"",""97045"",""{F0484539-B2E5-4B33-932C-BF4073A9EE02}"",""2013-07-10 00:00:00""
""22821"",""609 Power Ave."","""",""Oregon City"",""58"",""97045"",""{EF645726-EF9B-4231-987B-DCD620061A28}"",""2013-04-10 00:00:00""
""22962"",""7122 Athene Dr."","""",""Oregon City"",""58"",""97045"",""{549D3441-654E-4D48-88E4-9E35E1B5FE1F}"",""2014-07-02 00:00:00""
""25380"",""4930 Virginia Hills Drive"","""",""Oregon City"",""58"",""97045"",""{1E7EC380-D8E2-4174-8114-370CBF7A0CB8}"",""2013-10-07 00:00:00""
""25715"",""9458 Camino Estrada"","""",""Oregon City"",""58"",""97045"",""{5F9EF2BC-B73C-4C68-AFBC-06B6AC41EC67}"",""2014-12-04 00:00:00""
""26088"",""3648 Hedaro Court"","""",""Oregon City"",""58"",""97045"",""{7BF5AD27-861A-4057-98FD-5540CEE3DACD}"",""2014-12-04 00:00:00""
""26739"",""5083 Bates Court"","""",""Oregon City"",""58"",""97045"",""{A994E64B-BD2E-4153-8849-48987EE7F67A}"",""2014-08-01 00:00:00""
""28243"",""7469 Paraiso Ct."","""",""Oregon City"",""58"",""97045"",""{BA277D70-860A-49DF-97CB-CEF69BFCF989}"",""2013-07-05 00:00:00""
""28440"",""5759 Benton Street"","""",""Oregon City"",""58"",""97045"",""{C675741F-03E6-4278-B687-865F14B4CCDD}"",""2013-03-01 00:00:00""
""28738"",""1708 Weaver Lane"","""",""Oregon City"",""58"",""97045"",""{3E924E09-644E-43EA-95A8-81DA3CF6A581}"",""2014-05-05 00:00:00""
